Date,Price,Change %
01/01/1982,120.4,-1.79%
02/01/1982,113.1,-6.06%
03/01/1982,112,-0.97%
04/01/1982,116.4,3.93%
05/01/1982,111.9,-3.87%
06/01/1982,109.6,-2.06%
07/01/1982,107.1,-2.28%
08/01/1982,119.5,11.58%
09/01/1982,120.4,0.75%
10/01/1982,133.7,11.05%
11/01/1982,138.5,3.59%
12/01/1982,140.6,1.52%
01/01/1983,145.3,3.34%
02/01/1983,148.1,1.93%
03/01/1983,153,3.31%
04/01/1983,164.4,7.45%
05/01/1983,162.4,-1.22%
06/01/1983,168.1,3.51%
07/01/1983,162.6,-3.27%
08/01/1983,164.4,1.11%
09/01/1983,166.1,1.03%
10/01/1983,163.6,-1.51%
11/01/1983,166.4,1.71%
12/01/1983,164.9,-0.90%
01/01/1984,163.4,-0.91%
02/01/1984,157.1,-3.86%
03/01/1984,159.2,1.34%
04/01/1984,160.1,0.57%
05/01/1984,150.6,-5.93%
06/01/1984,153.2,1.73%
07/01/1984,150.7,-1.63%
08/01/1984,166.7,10.62%
09/01/1984,166.1,-0.36%
10/01/1984,166.1,0.00%
11/01/1984,163.6,-1.51%
12/01/1984,167.2,2.20%
01/01/1985,179.6,7.42%
02/01/1985,181.2,0.89%
03/01/1985,180.7,-0.28%
04/01/1985,179.8,-0.50%
05/01/1985,189.6,5.45%
06/01/1985,191.8,1.16%
07/01/1985,190.9,-0.47%
08/01/1985,188.6,-1.20%
09/01/1985,182.1,-3.45%
10/01/1985,189.8,4.23%
11/01/1985,202.2,6.53%
12/01/1985,211.3,4.50%
01/01/1986,211.8,0.24%
02/01/1986,226.9,7.13%
03/01/1986,238.9,5.29%
04/01/1986,235.5,-1.42%
05/01/1986,247.3,5.01%
06/01/1986,250.8,1.42%
07/01/1986,236.1,-5.86%
08/01/1986,252.9,7.12%
09/01/1986,231.3,-8.54%
10/01/1986,244,5.49%
11/01/1986,249.2,2.13%
12/01/1986,242.2,-2.81%
01/01/1987,274.1,13.17%
02/01/1987,284.2,3.68%
03/01/1987,291.7,2.64%
04/01/1987,288.4,-1.13%
05/01/1987,290.1,0.59%
06/01/1987,304,4.79%
07/01/1987,318.7,4.84%
08/01/1987,329.8,3.48%
09/01/1987,321.8,-2.43%
10/01/1987,251.8,-21.75%
11/01/1987,230.3,-8.54%
12/01/1987,247.1,7.29%
01/01/1988,257.1,4.05%
02/01/1988,267.8,4.16%
03/01/1988,258.9,-3.32%
04/01/1988,261.3,0.93%
05/01/1988,262.2,0.34%
06/01/1988,273.5,4.31%
07/01/1988,272,-0.55%
08/01/1988,261.5,-3.86%
